settlement_period,price,asset,action,power_mw,soc,reserved_capacity_pct
1,60.74,Battery_1,charge,5.0,61.3,50.0
1,60.74,Battery_2,charge,17.5,57.9,30.0
1,60.74,Battery_3,charge,35.0,57.9,30.0
1,60.74,Battery_4,charge,14.0,57.9,30.0
1,60.74,Battery_5,charge,28.0,57.9,30.0
2,53.86,Battery_1,charge,5.0,72.5,50.0
2,53.86,Battery_2,charge,17.5,65.8,30.0
2,53.86,Battery_3,charge,35.0,65.8,30.0
2,53.86,Battery_4,charge,14.0,65.8,30.0
2,53.86,Battery_5,charge,28.0,65.8,30.0
3,81.76,Battery_1,charge,3.89,81.2,50.0
3,81.76,Battery_2,charge,17.5,73.6,30.0
3,81.76,Battery_3,charge,35.0,73.6,30.0
3,81.76,Battery_4,charge,14.0,73.6,30.0
3,81.76,Battery_5,charge,28.0,73.6,30.0
4,82.24,Battery_1,hold,0.0,81.2,50.0
4,82.24,Battery_2,hold,0.0,73.6,30.0
4,82.24,Battery_3,hold,0.0,73.6,30.0
4,82.24,Battery_4,hold,0.0,73.6,30.0
4,82.24,Battery_5,hold,0.0,73.6,30.0
5,84.58,Battery_1,hold,0.0,81.2,50.0
5,84.58,Battery_2,hold,0.0,73.6,30.0
5,84.58,Battery_3,hold,0.0,73.6,30.0
5,84.58,Battery_4,hold,0.0,73.6,30.0
5,84.58,Battery_5,hold,0.0,73.6,30.0
6,83.07,Battery_1,hold,0.0,81.2,50.0
6,83.07,Battery_2,hold,0.0,73.6,30.0
6,83.07,Battery_3,hold,0.0,73.6,30.0
6,83.07,Battery_4,hold,0.0,73.6,30.0
6,83.07,Battery_5,hold,0.0,73.6,30.0
7,81.78,Battery_1,charge,1.94,85.6,50.0
7,81.78,Battery_2,charge,17.5,81.5,30.0
7,81.78,Battery_3,charge,35.0,81.5,30.0
7,81.78,Battery_4,charge,14.0,81.5,30.0
7,81.78,Battery_5,charge,28.0,81.5,30.0
8,80.3,Battery_1,charge,0.97,87.8,50.0
8,80.3,Battery_2,charge,13.22,87.5,30.0
8,80.3,Battery_3,charge,26.44,87.5,30.0
8,80.3,Battery_4,charge,10.58,87.4,30.0
8,80.3,Battery_5,charge,21.16,87.4,30.0
9,87.92,Battery_1,hold,0.0,87.8,50.0
9,87.92,Battery_2,hold,0.0,87.5,30.0
9,87.92,Battery_3,hold,0.0,87.5,30.0
9,87.92,Battery_4,hold,0.0,87.4,30.0
9,87.92,Battery_5,hold,0.0,87.4,30.0
10,89.3,Battery_1,hold,0.0,87.8,50.0
10,89.3,Battery_2,hold,0.0,87.5,30.0
10,89.3,Battery_3,hold,0.0,87.5,30.0
10,89.3,Battery_4,hold,0.0,87.4,30.0
10,89.3,Battery_5,hold,0.0,87.4,30.0
11,107.45,Battery_1,hold,0.0,87.8,50.0
11,107.45,Battery_2,hold,0.0,87.5,30.0
11,107.45,Battery_3,hold,0.0,87.5,30.0
11,107.45,Battery_4,hold,0.0,87.4,30.0
11,107.45,Battery_5,hold,0.0,87.4,30.0
12,105.38,Battery_1,hold,0.0,87.8,50.0
12,105.38,Battery_2,hold,0.0,87.5,30.0
12,105.38,Battery_3,hold,0.0,87.5,30.0
12,105.38,Battery_4,hold,0.0,87.4,30.0
12,105.38,Battery_5,hold,0.0,87.4,30.0
13,112.16,Battery_1,discharge,5.0,73.9,50.0
13,112.16,Battery_2,discharge,17.5,77.7,30.0
13,112.16,Battery_3,discharge,35.0,77.7,30.0
13,112.16,Battery_4,discharge,14.0,77.7,30.0
13,112.16,Battery_5,discharge,28.0,77.7,30.0
14,118.26,Battery_1,discharge,5.0,60.0,50.0
14,118.26,Battery_2,discharge,17.5,68.0,30.0
14,118.26,Battery_3,discharge,35.0,68.0,30.0
14,118.26,Battery_4,discharge,14.0,68.0,30.0
14,118.26,Battery_5,discharge,28.0,68.0,30.0
15,113.71,Battery_1,discharge,5.0,46.1,50.0
15,113.71,Battery_2,discharge,17.5,58.3,30.0
15,113.71,Battery_3,discharge,35.0,58.3,30.0
15,113.71,Battery_4,discharge,14.0,58.3,30.0
15,113.71,Battery_5,discharge,28.0,58.3,30.0
16,110.79,Battery_1,hold,0.0,46.1,50.0
