settlement_period,da_price,id_price,spread,asset,action,power_mw,soc,energy_mwh,id_price_discharge,id_price_charge
1,167.05,168.57,1.52,Battery_1,hold,0.0,10.0,2.0,163.67,169.47
2,164.81,159.61,-5.2,Battery_1,hold,0.0,10.0,2.0,154.71,160.51000000000002
3,167.02,170.77,3.75,Battery_1,hold,0.0,10.0,2.0,165.87,171.67000000000002
4,163.19,167.89,4.7,Battery_1,hold,0.0,10.0,2.0,162.98999999999998,168.79
5,160.62,150.86,-9.76,Battery_1,charge,3.0,16.8,3.35,145.96,151.76000000000002
6,162.42,155.91,-6.51,Battery_1,charge,3.0,23.5,4.7,151.01,156.81
7,164.45,165.09,0.64,Battery_1,hold,0.0,23.5,4.7,160.19,165.99
8,158.5,156.92,-1.58,Battery_1,charge,3.0,30.2,6.05,152.01999999999998,157.82
9,165.31,165.23,-0.08,Battery_1,hold,0.0,30.2,6.05,160.32999999999998,166.13
10,163.58,159.31,-4.27,Battery_1,charge,2.11,35.0,7.0,154.41,160.21
11,185.71,190.11,4.4,Battery_1,hold,0.0,35.0,7.0,185.21,191.01000000000002
12,191.08,194.97,3.89,Battery_1,hold,0.0,35.0,7.0,190.07,195.87
13,194.48,194.81,0.33,Battery_1,hold,0.0,35.0,7.0,189.91,195.71
14,197.32,202.96,5.64,Battery_1,discharge,3.0,26.7,5.33,198.06,203.86
15,208.6,210.94,2.34,Battery_1,discharge,3.0,18.3,3.67,206.04,211.84
16,211.94,207.64,-4.3,Battery_1,discharge,3.0,10.0,2.0,202.73999999999998,208.54
17,199.61,201.45,1.84,Battery_1,hold,0.0,10.0,2.0,196.54999999999998,202.35
18,201.96,197.17,-4.79,Battery_1,hold,0.0,10.0,2.0,192.26999999999998,198.07
19,190.1,194.49,4.39,Battery_1,hold,0.0,10.0,2.0,189.59,195.39000000000001
20,176.74,176.49,-0.25,Battery_1,hold,0.0,10.0,2.0,171.59,177.39000000000001
21,175.13,174.21,-0.92,Battery_1,hold,0.0,10.0,2.0,169.31,175.11
22,181.24,177.84,-3.4,Battery_1,hold,0.0,10.0,2.0,172.94,178.74
23,190.45,196.56,6.11,Battery_1,hold,0.0,10.0,2.0,191.66,197.46
24,183.27,182.5,-0.77,Battery_1,hold,0.0,10.0,2.0,177.6,183.4
25,179.87,177.73,-2.14,Battery_1,hold,0.0,10.0,2.0,172.82999999999998,178.63
26,160.14,158.38,-1.76,Battery_1,charge,1.93,14.3,2.87,153.48,159.28
27,154.64,157.3,2.66,Battery_1,charge,3.0,21.1,4.22,152.4,158.20000000000002
28,150.21,152.04,1.83,Battery_1,charge,3.0,27.8,5.57,147.14,152.94
29,147.88,149.94,2.06,Battery_1,charge,3.0,34.6,6.92,145.04,150.84
30,145.97,148.12,2.15,Battery_1,charge,3.0,41.3,8.27,143.22,149.02
31,147.0,157.71,10.71,Battery_1,charge,3.0,48.1,9.62,152.81,158.61
32,145.18,143.15,-2.03,Battery_1,charge,3.0,54.8,10.97,138.25,144.05
33,145.98,143.42,-2.56,Battery_1,charge,3.0,61.6,12.32,138.51999999999998,144.32
34,156.58,152.51,-4.07,Battery_1,charge,3.0,68.3,13.67,147.60999999999999,153.41
35,203.25,206.33,3.08,Battery_1,discharge,3.0,60.0,12.0,201.43,207.23000000000002
36,198.76,204.4,5.64,Battery_1,discharge,3.0,51.7,10.33,199.5,205.3
