settlement_period,da_price,id_price,spread,asset,action,power_mw,soc,energy_mwh
1,98.19,99.71,1.52,Battery_1,hold,0.0,10.0,2.0
2,92.29,87.09,-5.2,Battery_1,hold,0.0,10.0,2.0
3,85.86,89.61,3.75,Battery_1,hold,0.0,10.0,2.0
4,84.71,89.41,4.7,Battery_1,hold,0.0,10.0,2.0
5,88.42,78.66,-9.76,Battery_1,charge,3.0,16.8,3.35
6,82.66,76.15,-6.51,Battery_1,charge,3.0,23.5,4.7
7,81.99,82.63,0.64,Battery_1,hold,0.0,23.5,4.7
8,86.14,84.56,-1.58,Battery_1,hold,0.0,23.5,4.7
9,85.56,85.48,-0.08,Battery_1,hold,0.0,23.5,4.7
10,85.06,80.79,-4.27,Battery_1,hold,0.0,23.5,4.7
11,87.29,91.69,4.4,Battery_1,hold,0.0,23.5,4.7
12,89.96,93.85,3.89,Battery_1,hold,0.0,23.5,4.7
13,95.51,95.84,0.33,Battery_1,hold,0.0,23.5,4.7
14,98.58,104.22,5.64,Battery_1,discharge,3.0,15.2,3.03
15,87.68,90.02,2.34,Battery_1,hold,0.0,15.2,3.03
16,95.71,91.41,-4.3,Battery_1,hold,0.0,15.2,3.03
17,89.25,91.09,1.84,Battery_1,hold,0.0,15.2,3.03
18,88.9,84.11,-4.79,Battery_1,hold,0.0,15.2,3.03
19,76.47,80.86,4.39,Battery_1,hold,0.0,15.2,3.03
20,74.64,74.39,-0.25,Battery_1,charge,3.0,21.9,4.38
21,58.53,57.61,-0.92,Battery_1,charge,3.0,28.7,5.73
22,58.98,55.58,-3.4,Battery_1,charge,3.0,35.4,7.08
23,46.76,52.87,6.11,Battery_1,charge,3.0,42.2,8.43
24,54.26,53.49,-0.77,Battery_1,charge,3.0,48.9,9.78
25,53.91,51.77,-2.14,Battery_1,charge,3.0,55.7,11.13
26,64.06,62.3,-1.76,Battery_1,charge,3.0,62.4,12.48
27,67.51,70.17,2.66,Battery_1,charge,3.0,69.2,13.83
28,68.11,69.94,1.83,Battery_1,charge,3.0,75.9,15.18
29,75.19,77.25,2.06,Battery_1,charge,3.0,82.7,16.53
30,78.83,80.98,2.15,Battery_1,hold,0.0,82.7,16.53
31,98.3,109.01,10.71,Battery_1,discharge,3.0,74.3,14.87
32,93.97,91.94,-2.03,Battery_1,hold,0.0,74.3,14.87
33,84.09,81.53,-2.56,Battery_1,hold,0.0,74.3,14.87
34,76.78,72.71,-4.07,Battery_1,charge,3.0,81.1,16.22
35,95.05,98.13,3.08,Battery_1,hold,0.0,81.1,16.22
36,88.57,94.21,5.64,Battery_1,hold,0.0,81.1,16.22
37,78.05,77.48,-0.57,Battery_1,charge,3.0,87.8,17.57
38,102.67,98.47,-4.2,Battery_1,discharge,1.02,85.0,17.0
39,111.53,107.41,-4.12,Battery_1,discharge,3.0,76.7,15.33
40,117.24,120.49,3.25,Battery_1,discharge,3.0,68.3,13.67
41,128.26,131.98,3.72,Battery_1,discharge,3.0,60.0,12.0
42,132.97,135.69,2.72,Battery_1,discharge,3.0,51.7,10.33
43,118.71,115.38,-3.33,Battery_1,discharge,3.0,43.3,8.67
44,116.69,117.85,1.16,Battery_1,discharge,3.0,35.0,7.0
45,114.32,114.9,0.58,Battery_1,discharge,3.0,26.7,5.33
46,117.33,118.42,1.09,Battery_1,discharge,3.0,18.3,3.67
47,97.1,101.46,4.36,Battery_1,discharge,3.0,10.0,2.0
48,94.86,95.98,1.12,Battery_1,hold,0.0,10.0,2.0
1,98.19,99.71,1.52,Battery_2,hold,0.0,10.0,10.0
2,92.29,87.09,-5.2,Battery_2,hold,0.0,10.0,10.0
3,85.86,89.61,3.75,Battery_2,hold,0.0,10.0,10.0
4,84.71,89.41,4.7,Battery_2,hold,0.0,10.0,10.0
5,88.42,78.66,-9.76,Battery_2,charge,5.0,12.2,12.25
6,82.66,76.15,-6.51,Battery_2,charge,5.0,14.5,14.5
7,81.99,82.63,0.64,Battery_2,hold,0.0,14.5,14.5
8,86.14,84.56,-1.58,Battery_2,hold,0.0,14.5,14.5
9,85.56,85.48,-0.08,Battery_2,hold,0.0,14.5,14.5
10,85.06,80.79,-4.27,Battery_2,hold,0.0,14.5,14.5
11,87.29,91.69,4.4,Battery_2,hold,0.0,14.5,14.5
12,89.96,93.85,3.89,Battery_2,hold,0.0,14.5,14.5
13,95.51,95.84,0.33,Battery_2,hold,0.0,14.5,14.5
