settlement_period,da_price,id_price,spread,asset,action,power_mw,soc,energy_mwh,id_price_discharge,id_price_charge
1,152.39,153.91,1.52,Battery_1,hold,0.0,10.0,2.0,149.01,154.81
2,144.39,139.19,-5.2,Battery_1,hold,0.0,10.0,2.0,134.29,140.09
3,149.47,153.22,3.75,Battery_1,hold,0.0,10.0,2.0,148.32,154.12
4,143.69,148.39,4.7,Battery_1,hold,0.0,10.0,2.0,143.48999999999998,149.29
5,142.86,133.1,-9.76,Battery_1,charge,3.0,16.8,3.35,128.2,134.0
6,138.27,131.76,-6.51,Battery_1,charge,3.0,23.5,4.7,126.85999999999999,132.66
7,146.46,147.1,0.64,Battery_1,hold,0.0,23.5,4.7,142.2,148.0
8,142.11,140.53,-1.58,Battery_1,hold,0.0,23.5,4.7,135.63,141.43
9,144.45,144.37,-0.08,Battery_1,hold,0.0,23.5,4.7,139.47,145.27
10,142.05,137.78,-4.27,Battery_1,hold,0.0,23.5,4.7,132.88,138.68
11,145.1,149.5,4.4,Battery_1,hold,0.0,23.5,4.7,144.6,150.4
12,144.51,148.4,3.89,Battery_1,hold,0.0,23.5,4.7,143.5,149.3
13,149.12,149.45,0.33,Battery_1,hold,0.0,23.5,4.7,144.54999999999998,150.35
14,151.04,156.68,5.64,Battery_1,hold,0.0,23.5,4.7,151.78,157.58
15,165.32,167.66,2.34,Battery_1,hold,0.0,23.5,4.7,162.76,168.56
16,177.0,172.7,-4.3,Battery_1,discharge,0.3,22.7,4.53,167.79999999999998,173.6
17,146.49,148.33,1.84,Battery_1,hold,0.0,22.7,4.53,143.43,149.23000000000002
18,144.65,139.86,-4.79,Battery_1,hold,0.0,22.7,4.53,134.96,140.76000000000002
19,128.24,132.63,4.39,Battery_1,charge,3.0,29.4,5.88,127.72999999999999,133.53
20,129.01,128.76,-0.25,Battery_1,charge,3.0,36.2,7.23,123.85999999999999,129.66
21,123.07,122.15,-0.92,Battery_1,charge,3.0,42.9,8.58,117.25,123.05000000000001
22,121.85,118.45,-3.4,Battery_1,charge,3.0,49.7,9.93,113.55,119.35000000000001
23,113.24,119.35,6.11,Battery_1,charge,3.0,56.4,11.28,114.44999999999999,120.25
24,114.86,114.09,-0.77,Battery_1,charge,3.0,63.2,12.63,109.19,114.99000000000001
25,129.77,127.63,-2.14,Battery_1,charge,3.0,69.9,13.98,122.72999999999999,128.53
26,133.93,132.17,-1.76,Battery_1,charge,3.0,76.7,15.33,127.26999999999998,133.07
27,134.8,137.46,2.66,Battery_1,hold,0.0,76.7,15.33,132.56,138.36
28,135.35,137.18,1.83,Battery_1,hold,0.0,76.7,15.33,132.28,138.08
29,145.21,147.27,2.06,Battery_1,hold,0.0,76.7,15.33,142.37,148.17000000000002
30,144.33,146.48,2.15,Battery_1,hold,0.0,76.7,15.33,141.57999999999998,147.38
31,155.93,166.64,10.71,Battery_1,hold,0.0,76.7,15.33,161.73999999999998,167.54
32,154.49,152.46,-2.03,Battery_1,hold,0.0,76.7,15.33,147.56,153.36
33,149.83,147.27,-2.56,Battery_1,hold,0.0,76.7,15.33,142.37,148.17000000000002
34,142.94,138.87,-4.07,Battery_1,hold,0.0,76.7,15.33,133.97,139.77
35,181.78,184.86,3.08,Battery_1,discharge,3.0,68.3,13.67,179.96,185.76000000000002
36,186.33,191.97,5.64,Battery_1,discharge,3.0,60.0,12.0,187.07,192.87
37,202.71,202.14,-0.57,Battery_1,discharge,3.0,51.7,10.33,197.23999999999998,203.04
38,210.83,206.63,-4.2,Battery_1,discharge,3.0,43.3,8.67,201.73,207.53
39,203.69,199.57,-4.12,Battery_1,discharge,3.0,35.0,7.0,194.67,200.47
40,197.53,200.78,3.25,Battery_1,discharge,3.0,26.7,5.33,195.88,201.68
41,182.11,185.83,3.72,Battery_1,discharge,3.0,18.3,3.67,180.93,186.73000000000002
42,177.02,179.74,2.72,Battery_1,discharge,3.0,10.0,2.0,174.84,180.64000000000001
43,163.96,160.63,-3.33,Battery_1,hold,0.0,10.0,2.0,155.73,161.53
44,161.57,162.73,1.16,Battery_1,hold,0.0,10.0,2.0,157.82999999999998,163.63
45,165.49,166.07,0.58,Battery_1,hold,0.0,10.0,2.0,161.17,166.97
46,155.11,156.2,1.09,Battery_1,hold,0.0,10.0,2.0,151.29999999999998,157.1
47,138.48,142.84,4.36,Battery_1,hold,0.0,10.0,2.0,137.94,143.74
48,145.15,146.27,1.12,Battery_1,hold,0.0,10.0,2.0,141.37,147.17000000000002
1,152.39,153.91,1.52,Battery_2,hold,0.0,10.0,10.0,149.01,154.81
2,144.39,139.19,-5.2,Battery_2,hold,0.0,10.0,10.0,134.29,140.09
3,149.47,153.22,3.75,Battery_2,hold,0.0,10.0,10.0,148.32,154.12
4,143.69,148.39,4.7,Battery_2,hold,0.0,10.0,10.0,143.48999999999998,149.29
5,142.86,133.1,-9.76,Battery_2,charge,5.0,12.2,12.25,128.2,134.0
6,138.27,131.76,-6.51,Battery_2,charge,5.0,14.5,14.5,126.85999999999999,132.66
7,146.46,147.1,0.64,Battery_2,hold,0.0,14.5,14.5,142.2,148.0
8,142.11,140.53,-1.58,Battery_2,hold,0.0,14.5,14.5,135.63,141.43
9,144.45,144.37,-0.08,Battery_2,hold,0.0,14.5,14.5,139.47,145.27
10,142.05,137.78,-4.27,Battery_2,hold,0.0,14.5,14.5,132.88,138.68
11,145.1,149.5,4.4,Battery_2,hold,0.0,14.5,14.5,144.6,150.4
12,144.51,148.4,3.89,Battery_2,hold,0.0,14.5,14.5,143.5,149.3
13,149.12,149.45,0.33,Battery_2,hold,0.0,14.5,14.5,144.54999999999998,150.35
14,151.04,156.68,5.64,Battery_2,hold,0.0,14.5,14.5,151.78,157.58
15,165.32,167.66,2.34,Battery_2,hold,0.0,14.5,14.5,162.76,168.56
16,177.0,172.7,-4.3,Battery_2,discharge,0.5,14.2,14.22,167.79999999999998,173.6
17,146.49,148.33,1.84,Battery_2,hold,0.0,14.2,14.22,143.43,149.23000000000002
18,144.65,139.86,-4.79,Battery_2,hold,0.0,14.2,14.22,134.96,140.76000000000002
19,128.24,132.63,4.39,Battery_2,charge,5.0,16.5,16.47,127.72999999999999,133.53
20,129.01,128.76,-0.25,Battery_2,charge,5.0,18.7,18.72,123.85999999999999,129.66
21,123.07,122.15,-0.92,Battery_2,charge,5.0,21.0,20.97,117.25,123.05000000000001
22,121.85,118.45,-3.4,Battery_2,charge,5.0,23.2,23.22,113.55,119.35000000000001
23,113.24,119.35,6.11,Battery_2,charge,5.0,25.5,25.47,114.44999999999999,120.25
24,114.86,114.09,-0.77,Battery_2,charge,5.0,27.7,27.72,109.19,114.99000000000001
25,129.77,127.63,-2.14,Battery_2,charge,5.0,30.0,29.97,122.72999999999999,128.53
26,133.93,132.17,-1.76,Battery_2,charge,5.0,32.2,32.22,127.26999999999998,133.07
27,134.8,137.46,2.66,Battery_2,hold,0.0,32.2,32.22,132.56,138.36
28,135.35,137.18,1.83,Battery_2,hold,0.0,32.2,32.22,132.28,138.08
29,145.21,147.27,2.06,Battery_2,hold,0.0,32.2,32.22,142.37,148.17000000000002
30,144.33,146.48,2.15,Battery_2,hold,0.0,32.2,32.22,141.57999999999998,147.38
31,155.93,166.64,10.71,Battery_2,hold,0.0,32.2,32.22,161.73999999999998,167.54
32,154.49,152.46,-2.03,Battery_2,hold,0.0,32.2,32.22,147.56,153.36
33,149.83,147.27,-2.56,Battery_2,hold,0.0,32.2,32.22,142.37,148.17000000000002
34,142.94,138.87,-4.07,Battery_2,hold,0.0,32.2,32.22,133.97,139.77
35,181.78,184.86,3.08,Battery_2,discharge,5.0,29.4,29.44,179.96,185.76000000000002
36,186.33,191.97,5.64,Battery_2,discharge,5.0,26.7,26.67,187.07,192.87
37,202.71,202.14,-0.57,Battery_2,discharge,5.0,23.9,23.89,197.23999999999998,203.04
38,210.83,206.63,-4.2,Battery_2,discharge,5.0,21.1,21.11,201.73,207.53
39,203.69,199.57,-4.12,Battery_2,discharge,5.0,18.3,18.33,194.67,200.47
40,197.53,200.78,3.25,Battery_2,discharge,5.0,15.6,15.56,195.88,201.68
41,182.11,185.83,3.72,Battery_2,discharge,5.0,12.8,12.78,180.93,186.73000000000002
42,177.02,179.74,2.72,Battery_2,discharge,5.0,10.0,10.0,174.84,180.64000000000001
43,163.96,160.63,-3.33,Battery_2,hold,0.0,10.0,10.0,155.73,161.53
44,161.57,162.73,1.16,Battery_2,hold,0.0,10.0,10.0,157.82999999999998,163.63
45,165.49,166.07,0.58,Battery_2,hold,0.0,10.0,10.0,161.17,166.97
46,155.11,156.2,1.09,Battery_2,hold,0.0,10.0,10.0,151.29999999999998,157.1
47,138.48,142.84,4.36,Battery_2,hold,0.0,10.0,10.0,137.94,143.74
48,145.15,146.27,1.12,Battery_2,hold,0.0,10.0,10.0,141.37,147.17000000000002
1,152.39,153.91,1.52,Battery_3,hold,0.0,10.0,20.0,149.01,154.81
2,144.39,139.19,-5.2,Battery_3,hold,0.0,10.0,20.0,134.29,140.09
3,149.47,153.22,3.75,Battery_3,hold,0.0,10.0,20.0,148.32,154.12
4,143.69,148.39,4.7,Battery_3,hold,0.0,10.0,20.0,143.48999999999998,149.29
5,142.86,133.1,-9.76,Battery_3,charge,10.0,12.2,24.5,128.2,134.0
6,138.27,131.76,-6.51,Battery_3,charge,10.0,14.5,29.0,126.85999999999999,132.66
7,146.46,147.1,0.64,Battery_3,hold,0.0,14.5,29.0,142.2,148.0
8,142.11,140.53,-1.58,Battery_3,hold,0.0,14.5,29.0,135.63,141.43
9,144.45,144.37,-0.08,Battery_3,hold,0.0,14.5,29.0,139.47,145.27
10,142.05,137.78,-4.27,Battery_3,hold,0.0,14.5,29.0,132.88,138.68
11,145.1,149.5,4.4,Battery_3,hold,0.0,14.5,29.0,144.6,150.4
12,144.51,148.4,3.89,Battery_3,hold,0.0,14.5,29.0,143.5,149.3
13,149.12,149.45,0.33,Battery_3,hold,0.0,14.5,29.0,144.54999999999998,150.35
14,151.04,156.68,5.64,Battery_3,hold,0.0,14.5,29.0,151.78,157.58
15,165.32,167.66,2.34,Battery_3,hold,0.0,14.5,29.0,162.76,168.56
16,177.0,172.7,-4.3,Battery_3,discharge,1.0,14.2,28.44,167.79999999999998,173.6
17,146.49,148.33,1.84,Battery_3,hold,0.0,14.2,28.44,143.43,149.23000000000002
18,144.65,139.86,-4.79,Battery_3,hold,0.0,14.2,28.44,134.96,140.76000000000002
19,128.24,132.63,4.39,Battery_3,charge,10.0,16.5,32.94,127.72999999999999,133.53
20,129.01,128.76,-0.25,Battery_3,charge,10.0,18.7,37.44,123.85999999999999,129.66
21,123.07,122.15,-0.92,Battery_3,charge,10.0,21.0,41.94,117.25,123.05000000000001
22,121.85,118.45,-3.4,Battery_3,charge,10.0,23.2,46.44,113.55,119.35000000000001
23,113.24,119.35,6.11,Battery_3,charge,10.0,25.5,50.94,114.44999999999999,120.25
24,114.86,114.09,-0.77,Battery_3,charge,10.0,27.7,55.44,109.19,114.99000000000001
25,129.77,127.63,-2.14,Battery_3,charge,10.0,30.0,59.94,122.72999999999999,128.53
26,133.93,132.17,-1.76,Battery_3,charge,10.0,32.2,64.44,127.26999999999998,133.07
27,134.8,137.46,2.66,Battery_3,hold,0.0,32.2,64.44,132.56,138.36
28,135.35,137.18,1.83,Battery_3,hold,0.0,32.2,64.44,132.28,138.08
29,145.21,147.27,2.06,Battery_3,hold,0.0,32.2,64.44,142.37,148.17000000000002
30,144.33,146.48,2.15,Battery_3,hold,0.0,32.2,64.44,141.57999999999998,147.38
31,155.93,166.64,10.71,Battery_3,hold,0.0,32.2,64.44,161.73999999999998,167.54
32,154.49,152.46,-2.03,Battery_3,hold,0.0,32.2,64.44,147.56,153.36
33,149.83,147.27,-2.56,Battery_3,hold,0.0,32.2,64.44,142.37,148.17000000000002
34,142.94,138.87,-4.07,Battery_3,hold,0.0,32.2,64.44,133.97,139.77
35,181.78,184.86,3.08,Battery_3,discharge,10.0,29.4,58.89,179.96,185.76000000000002
36,186.33,191.97,5.64,Battery_3,discharge,10.0,26.7,53.33,187.07,192.87
37,202.71,202.14,-0.57,Battery_3,discharge,10.0,23.9,47.78,197.23999999999998,203.04
38,210.83,206.63,-4.2,Battery_3,discharge,10.0,21.1,42.22,201.73,207.53
39,203.69,199.57,-4.12,Battery_3,discharge,10.0,18.3,36.67,194.67,200.47
40,197.53,200.78,3.25,Battery_3,discharge,10.0,15.6,31.11,195.88,201.68
41,182.11,185.83,3.72,Battery_3,discharge,10.0,12.8,25.56,180.93,186.73000000000002
42,177.02,179.74,2.72,Battery_3,discharge,10.0,10.0,20.0,174.84,180.64000000000001
43,163.96,160.63,-3.33,Battery_3,hold,0.0,10.0,20.0,155.73,161.53
44,161.57,162.73,1.16,Battery_3,hold,0.0,10.0,20.0,157.82999999999998,163.63
45,165.49,166.07,0.58,Battery_3,hold,0.0,10.0,20.0,161.17,166.97
46,155.11,156.2,1.09,Battery_3,hold,0.0,10.0,20.0,151.29999999999998,157.1
47,138.48,142.84,4.36,Battery_3,hold,0.0,10.0,20.0,137.94,143.74
48,145.15,146.27,1.12,Battery_3,hold,0.0,10.0,20.0,141.37,147.17000000000002
1,152.39,153.91,1.52,Battery_4,hold,0.0,10.0,8.0,149.01,154.81
2,144.39,139.19,-5.2,Battery_4,hold,0.0,10.0,8.0,134.29,140.09
3,149.47,153.22,3.75,Battery_4,hold,0.0,10.0,8.0,148.32,154.12
4,143.69,148.39,4.7,Battery_4,hold,0.0,10.0,8.0,143.48999999999998,149.29
5,142.86,133.1,-9.76,Battery_4,charge,4.0,12.3,9.8,128.2,134.0
6,138.27,131.76,-6.51,Battery_4,charge,4.0,14.5,11.6,126.85999999999999,132.66
7,146.46,147.1,0.64,Battery_4,hold,0.0,14.5,11.6,142.2,148.0
8,142.11,140.53,-1.58,Battery_4,hold,0.0,14.5,11.6,135.63,141.43
9,144.45,144.37,-0.08,Battery_4,hold,0.0,14.5,11.6,139.47,145.27
10,142.05,137.78,-4.27,Battery_4,hold,0.0,14.5,11.6,132.88,138.68
11,145.1,149.5,4.4,Battery_4,hold,0.0,14.5,11.6,144.6,150.4
12,144.51,148.4,3.89,Battery_4,hold,0.0,14.5,11.6,143.5,149.3
13,149.12,149.45,0.33,Battery_4,hold,0.0,14.5,11.6,144.54999999999998,150.35
14,151.04,156.68,5.64,Battery_4,hold,0.0,14.5,11.6,151.78,157.58
15,165.32,167.66,2.34,Battery_4,hold,0.0,14.5,11.6,162.76,168.56
16,177.0,172.7,-4.3,Battery_4,discharge,0.4,14.2,11.38,167.79999999999998,173.6
17,146.49,148.33,1.84,Battery_4,hold,0.0,14.2,11.38,143.43,149.23000000000002
18,144.65,139.86,-4.79,Battery_4,hold,0.0,14.2,11.38,134.96,140.76000000000002
19,128.24,132.63,4.39,Battery_4,charge,4.0,16.5,13.18,127.72999999999999,133.53
20,129.01,128.76,-0.25,Battery_4,charge,4.0,18.7,14.98,123.85999999999999,129.66
21,123.07,122.15,-0.92,Battery_4,charge,4.0,21.0,16.78,117.25,123.05000000000001
22,121.85,118.45,-3.4,Battery_4,charge,4.0,23.2,18.58,113.55,119.35000000000001
23,113.24,119.35,6.11,Battery_4,charge,4.0,25.5,20.38,114.44999999999999,120.25
24,114.86,114.09,-0.77,Battery_4,charge,4.0,27.7,22.18,109.19,114.99000000000001
25,129.77,127.63,-2.14,Battery_4,charge,4.0,30.0,23.98,122.72999999999999,128.53
26,133.93,132.17,-1.76,Battery_4,charge,4.0,32.2,25.78,127.26999999999998,133.07
27,134.8,137.46,2.66,Battery_4,hold,0.0,32.2,25.78,132.56,138.36
28,135.35,137.18,1.83,Battery_4,hold,0.0,32.2,25.78,132.28,138.08
29,145.21,147.27,2.06,Battery_4,hold,0.0,32.2,25.78,142.37,148.17000000000002
30,144.33,146.48,2.15,Battery_4,hold,0.0,32.2,25.78,141.57999999999998,147.38
31,155.93,166.64,10.71,Battery_4,hold,0.0,32.2,25.78,161.73999999999998,167.54
32,154.49,152.46,-2.03,Battery_4,hold,0.0,32.2,25.78,147.56,153.36
33,149.83,147.27,-2.56,Battery_4,hold,0.0,32.2,25.78,142.37,148.17000000000002
34,142.94,138.87,-4.07,Battery_4,hold,0.0,32.2,25.78,133.97,139.77
35,181.78,184.86,3.08,Battery_4,discharge,4.0,29.4,23.56,179.96,185.76000000000002
36,186.33,191.97,5.64,Battery_4,discharge,4.0,26.7,21.33,187.07,192.87
37,202.71,202.14,-0.57,Battery_4,discharge,4.0,23.9,19.11,197.23999999999998,203.04
38,210.83,206.63,-4.2,Battery_4,discharge,4.0,21.1,16.89,201.73,207.53
39,203.69,199.57,-4.12,Battery_4,discharge,4.0,18.3,14.67,194.67,200.47
40,197.53,200.78,3.25,Battery_4,discharge,4.0,15.6,12.44,195.88,201.68
41,182.11,185.83,3.72,Battery_4,discharge,4.0,12.8,10.22,180.93,186.73000000000002
42,177.02,179.74,2.72,Battery_4,discharge,4.0,10.0,8.0,174.84,180.64000000000001
43,163.96,160.63,-3.33,Battery_4,hold,0.0,10.0,8.0,155.73,161.53
44,161.57,162.73,1.16,Battery_4,hold,0.0,10.0,8.0,157.82999999999998,163.63
45,165.49,166.07,0.58,Battery_4,hold,0.0,10.0,8.0,161.17,166.97
46,155.11,156.2,1.09,Battery_4,hold,0.0,10.0,8.0,151.29999999999998,157.1
47,138.48,142.84,4.36,Battery_4,hold,0.0,10.0,8.0,137.94,143.74
48,145.15,146.27,1.12,Battery_4,hold,0.0,10.0,8.0,141.37,147.17000000000002
1,152.39,153.91,1.52,Battery_5,hold,0.0,10.0,16.0,149.01,154.81
2,144.39,139.19,-5.2,Battery_5,hold,0.0,10.0,16.0,134.29,140.09
3,149.47,153.22,3.75,Battery_5,hold,0.0,10.0,16.0,148.32,154.12
4,143.69,148.39,4.7,Battery_5,hold,0.0,10.0,16.0,143.48999999999998,149.29
5,142.86,133.1,-9.76,Battery_5,charge,8.0,12.3,19.6,128.2,134.0
6,138.27,131.76,-6.51,Battery_5,charge,8.0,14.5,23.2,126.85999999999999,132.66
7,146.46,147.1,0.64,Battery_5,hold,0.0,14.5,23.2,142.2,148.0
8,142.11,140.53,-1.58,Battery_5,hold,0.0,14.5,23.2,135.63,141.43
9,144.45,144.37,-0.08,Battery_5,hold,0.0,14.5,23.2,139.47,145.27
10,142.05,137.78,-4.27,Battery_5,hold,0.0,14.5,23.2,132.88,138.68
11,145.1,149.5,4.4,Battery_5,hold,0.0,14.5,23.2,144.6,150.4
12,144.51,148.4,3.89,Battery_5,hold,0.0,14.5,23.2,143.5,149.3
13,149.12,149.45,0.33,Battery_5,hold,0.0,14.5,23.2,144.54999999999998,150.35
14,151.04,156.68,5.64,Battery_5,hold,0.0,14.5,23.2,151.78,157.58
15,165.32,167.66,2.34,Battery_5,hold,0.0,14.5,23.2,162.76,168.56
16,177.0,172.7,-4.3,Battery_5,discharge,0.8,14.2,22.76,167.79999999999998,173.6
17,146.49,148.33,1.84,Battery_5,hold,0.0,14.2,22.76,143.43,149.23000000000002
18,144.65,139.86,-4.79,Battery_5,hold,0.0,14.2,22.76,134.96,140.76000000000002
19,128.24,132.63,4.39,Battery_5,charge,8.0,16.5,26.36,127.72999999999999,133.53
20,129.01,128.76,-0.25,Battery_5,charge,8.0,18.7,29.96,123.85999999999999,129.66
21,123.07,122.15,-0.92,Battery_5,charge,8.0,21.0,33.56,117.25,123.05000000000001
22,121.85,118.45,-3.4,Battery_5,charge,8.0,23.2,37.16,113.55,119.35000000000001
23,113.24,119.35,6.11,Battery_5,charge,8.0,25.5,40.76,114.44999999999999,120.25
24,114.86,114.09,-0.77,Battery_5,charge,8.0,27.7,44.36,109.19,114.99000000000001
25,129.77,127.63,-2.14,Battery_5,charge,8.0,30.0,47.96,122.72999999999999,128.53
26,133.93,132.17,-1.76,Battery_5,charge,8.0,32.2,51.56,127.26999999999998,133.07
27,134.8,137.46,2.66,Battery_5,hold,0.0,32.2,51.56,132.56,138.36
28,135.35,137.18,1.83,Battery_5,hold,0.0,32.2,51.56,132.28,138.08
29,145.21,147.27,2.06,Battery_5,hold,0.0,32.2,51.56,142.37,148.17000000000002
30,144.33,146.48,2.15,Battery_5,hold,0.0,32.2,51.56,141.57999999999998,147.38
31,155.93,166.64,10.71,Battery_5,hold,0.0,32.2,51.56,161.73999999999998,167.54
32,154.49,152.46,-2.03,Battery_5,hold,0.0,32.2,51.56,147.56,153.36
33,149.83,147.27,-2.56,Battery_5,hold,0.0,32.2,51.56,142.37,148.17000000000002
34,142.94,138.87,-4.07,Battery_5,hold,0.0,32.2,51.56,133.97,139.77
35,181.78,184.86,3.08,Battery_5,discharge,8.0,29.4,47.11,179.96,185.76000000000002
36,186.33,191.97,5.64,Battery_5,discharge,8.0,26.7,42.67,187.07,192.87
37,202.71,202.14,-0.57,Battery_5,discharge,8.0,23.9,38.22,197.23999999999998,203.04
38,210.83,206.63,-4.2,Battery_5,discharge,8.0,21.1,33.78,201.73,207.53
39,203.69,199.57,-4.12,Battery_5,discharge,8.0,18.3,29.33,194.67,200.47
40,197.53,200.78,3.25,Battery_5,discharge,8.0,15.6,24.89,195.88,201.68
41,182.11,185.83,3.72,Battery_5,discharge,8.0,12.8,20.44,180.93,186.73000000000002
42,177.02,179.74,2.72,Battery_5,discharge,8.0,10.0,16.0,174.84,180.64000000000001
43,163.96,160.63,-3.33,Battery_5,hold,0.0,10.0,16.0,155.73,161.53
44,161.57,162.73,1.16,Battery_5,hold,0.0,10.0,16.0,157.82999999999998,163.63
45,165.49,166.07,0.58,Battery_5,hold,0.0,10.0,16.0,161.17,166.97
