settlement_period,da_price,id_price,spread,asset,action,power_mw,soc,energy_mwh
1,114.63,116.15,1.52,Battery_1,hold,0.0,10.0,2.0
2,109.83,104.63,-5.2,Battery_1,charge,3.0,16.8,3.35
3,102.98,106.73,3.75,Battery_1,hold,0.0,16.8,3.35
4,103.71,108.41,4.7,Battery_1,hold,0.0,16.8,3.35
5,107.23,97.47,-9.76,Battery_1,charge,3.0,23.5,4.7
6,108.31,101.8,-6.51,Battery_1,charge,3.0,30.2,6.05
7,116.87,117.51,0.64,Battery_1,hold,0.0,30.2,6.05
8,114.09,112.51,-1.58,Battery_1,hold,0.0,30.2,6.05
9,118.17,118.09,-0.08,Battery_1,hold,0.0,30.2,6.05
10,116.28,112.01,-4.27,Battery_1,hold,0.0,30.2,6.05
11,126.68,131.08,4.4,Battery_1,discharge,3.0,21.9,4.38
12,125.86,129.75,3.89,Battery_1,discharge,1.29,18.3,3.67
13,128.75,129.08,0.33,Battery_1,hold,0.0,18.3,3.67
14,127.36,133.0,5.64,Battery_1,discharge,3.0,10.0,2.0
15,118.02,120.36,2.34,Battery_1,hold,0.0,10.0,2.0
16,116.42,112.12,-4.3,Battery_1,hold,0.0,10.0,2.0
17,108.82,110.66,1.84,Battery_1,hold,0.0,10.0,2.0
18,103.96,99.17,-4.79,Battery_1,charge,3.0,16.8,3.35
19,102.44,106.83,4.39,Battery_1,hold,0.0,16.8,3.35
20,101.82,101.57,-0.25,Battery_1,charge,3.0,23.5,4.7
21,96.83,95.91,-0.92,Battery_1,charge,3.0,30.2,6.05
22,96.56,93.16,-3.4,Battery_1,charge,3.0,37.0,7.4
23,94.72,100.83,6.11,Battery_1,charge,3.0,43.8,8.75
24,92.23,91.46,-0.77,Battery_1,charge,3.0,50.5,10.1
25,87.28,85.14,-2.14,Battery_1,charge,3.0,57.2,11.45
26,86.19,84.43,-1.76,Battery_1,charge,3.0,64.0,12.8
27,88.93,91.59,2.66,Battery_1,charge,3.0,70.8,14.15
28,85.84,87.67,1.83,Battery_1,charge,3.0,77.5,15.5
29,91.18,93.24,2.06,Battery_1,charge,3.0,84.2,16.85
