settlement_period,da_price,id_price,spread,asset,action,power_mw,soc,energy_mwh
1,93.1,94.62,1.52,Battery_1,hold,0.0,10.0,2.0
2,82.85,77.65,-5.2,Battery_1,charge,3.0,16.8,3.35
3,96.83,100.58,3.75,Battery_1,hold,0.0,16.8,3.35
4,100.45,105.15,4.7,Battery_1,hold,0.0,16.8,3.35
5,100.03,90.27,-9.76,Battery_1,hold,0.0,16.8,3.35
6,103.28,96.77,-6.51,Battery_1,hold,0.0,16.8,3.35
7,104.68,105.32,0.64,Battery_1,hold,0.0,16.8,3.35
8,106.41,104.83,-1.58,Battery_1,hold,0.0,16.8,3.35
9,102.31,102.23,-0.08,Battery_1,hold,0.0,16.8,3.35
10,104.57,100.3,-4.27,Battery_1,hold,0.0,16.8,3.35
11,100.51,104.91,4.4,Battery_1,hold,0.0,16.8,3.35
12,102.49,106.38,3.89,Battery_1,discharge,2.43,10.0,2.0
13,84.39,84.72,0.33,Battery_1,hold,0.0,10.0,2.0
14,83.13,88.77,5.64,Battery_1,hold,0.0,10.0,2.0
15,63.56,65.9,2.34,Battery_1,hold,0.0,10.0,2.0
16,66.1,61.8,-4.3,Battery_1,hold,0.0,10.0,2.0
17,60.11,61.95,1.84,Battery_1,hold,0.0,10.0,2.0
18,58.39,53.6,-4.79,Battery_1,hold,0.0,10.0,2.0
19,47.83,52.22,4.39,Battery_1,charge,2.56,15.8,3.15
20,43.96,43.71,-0.25,Battery_1,charge,3.0,22.5,4.5
21,38.82,37.9,-0.92,Battery_1,charge,3.0,29.2,5.85
22,34.16,30.76,-3.4,Battery_1,charge,3.0,36.0,7.2
23,24.29,30.4,6.11,Battery_1,charge,3.0,42.8,8.55
24,20.48,19.71,-0.77,Battery_1,charge,3.0,49.5,9.9
25,24.52,22.38,-2.14,Battery_1,charge,3.0,56.2,11.25
26,21.79,20.03,-1.76,Battery_1,charge,3.0,63.0,12.6
27,28.98,31.64,2.66,Battery_1,charge,3.0,69.8,13.95
28,26.29,28.12,1.83,Battery_1,charge,3.0,76.5,15.3
29,32.22,34.28,2.06,Battery_1,charge,3.0,83.2,16.65
30,46.03,48.18,2.15,Battery_1,charge,3.0,90.0,18.0
31,60.43,71.14,10.71,Battery_1,hold,0.0,90.0,18.0
32,80.25,78.22,-2.03,Battery_1,hold,0.0,90.0,18.0
33,90.6,88.04,-2.56,Battery_1,hold,0.0,90.0,18.0
34,96.6,92.53,-4.07,Battery_1,hold,0.0,90.0,18.0
35,108.96,112.04,3.08,Battery_1,discharge,3.0,81.7,16.33
36,114.44,120.08,5.64,Battery_1,discharge,3.0,73.3,14.67
37,119.02,118.45,-0.57,Battery_1,discharge,3.0,65.0,13.0
38,120.36,116.16,-4.2,Battery_1,discharge,3.0,56.7,11.33
39,116.13,112.01,-4.12,Battery_1,discharge,3.0,48.3,9.67
40,122.49,125.74,3.25,Battery_1,discharge,3.0,40.0,8.0
41,119.81,123.53,3.72,Battery_1,discharge,3.0,31.7,6.33
42,120.99,123.71,2.72,Battery_1,discharge,3.0,23.3,4.67
43,113.71,110.38,-3.33,Battery_1,discharge,1.8,18.3,3.67
44,113.78,114.94,1.16,Battery_1,discharge,3.0,10.0,2.0
45,109.65,110.23,0.58,Battery_1,hold,0.0,10.0,2.0
46,102.51,103.6,1.09,Battery_1,hold,0.0,10.0,2.0
47,102.64,107.0,4.36,Battery_1,hold,0.0,10.0,2.0
48,92.07,93.19,1.12,Battery_1,hold,0.0,10.0,2.0
1,93.1,94.62,1.52,Battery_2,hold,0.0,10.0,10.0
2,82.85,77.65,-5.2,Battery_2,charge,5.0,12.2,12.25
3,96.83,100.58,3.75,Battery_2,hold,0.0,12.2,12.25
4,100.45,105.15,4.7,Battery_2,hold,0.0,12.2,12.25
5,100.03,90.27,-9.76,Battery_2,hold,0.0,12.2,12.25
6,103.28,96.77,-6.51,Battery_2,hold,0.0,12.2,12.25
7,104.68,105.32,0.64,Battery_2,hold,0.0,12.2,12.25
8,106.41,104.83,-1.58,Battery_2,hold,0.0,12.2,12.25
9,102.31,102.23,-0.08,Battery_2,hold,0.0,12.2,12.25
10,104.57,100.3,-4.27,Battery_2,hold,0.0,12.2,12.25
11,100.51,104.91,4.4,Battery_2,hold,0.0,12.2,12.25
12,102.49,106.38,3.89,Battery_2,discharge,4.05,10.0,10.0
13,84.39,84.72,0.33,Battery_2,hold,0.0,10.0,10.0
14,83.13,88.77,5.64,Battery_2,hold,0.0,10.0,10.0
15,63.56,65.9,2.34,Battery_2,charge,5.0,12.2,12.25
16,66.1,61.8,-4.3,Battery_2,charge,5.0,14.5,14.5
17,60.11,61.95,1.84,Battery_2,charge,5.0,16.8,16.75
18,58.39,53.6,-4.79,Battery_2,charge,5.0,19.0,19.0
19,47.83,52.22,4.39,Battery_2,charge,5.0,21.2,21.25
20,43.96,43.71,-0.25,Battery_2,charge,5.0,23.5,23.5
21,38.82,37.9,-0.92,Battery_2,charge,5.0,25.8,25.75
22,34.16,30.76,-3.4,Battery_2,charge,5.0,28.0,28.0
23,24.29,30.4,6.11,Battery_2,charge,5.0,30.2,30.25
24,20.48,19.71,-0.77,Battery_2,charge,5.0,32.5,32.5
25,24.52,22.38,-2.14,Battery_2,charge,5.0,34.8,34.75
26,21.79,20.03,-1.76,Battery_2,charge,5.0,37.0,37.0
27,28.98,31.64,2.66,Battery_2,charge,5.0,39.2,39.25
28,26.29,28.12,1.83,Battery_2,charge,5.0,41.5,41.5
29,32.22,34.28,2.06,Battery_2,charge,5.0,43.8,43.75
30,46.03,48.18,2.15,Battery_2,charge,5.0,46.0,46.0
31,60.43,71.14,10.71,Battery_2,charge,5.0,48.2,48.25
32,80.25,78.22,-2.03,Battery_2,hold,0.0,48.2,48.25
33,90.6,88.04,-2.56,Battery_2,hold,0.0,48.2,48.25
34,96.6,92.53,-4.07,Battery_2,hold,0.0,48.2,48.25
35,108.96,112.04,3.08,Battery_2,discharge,5.0,45.5,45.47
36,114.44,120.08,5.64,Battery_2,discharge,5.0,42.7,42.69
37,119.02,118.45,-0.57,Battery_2,discharge,5.0,39.9,39.92
38,120.36,116.16,-4.2,Battery_2,discharge,5.0,37.1,37.14
39,116.13,112.01,-4.12,Battery_2,discharge,5.0,34.4,34.36
40,122.49,125.74,3.25,Battery_2,discharge,5.0,31.6,31.58
41,119.81,123.53,3.72,Battery_2,discharge,5.0,28.8,28.81
42,120.99,123.71,2.72,Battery_2,discharge,5.0,26.0,26.03
43,113.71,110.38,-3.33,Battery_2,discharge,5.0,23.2,23.25
44,113.78,114.94,1.16,Battery_2,discharge,5.0,20.5,20.47
45,109.65,110.23,0.58,Battery_2,discharge,5.0,17.7,17.69
46,102.51,103.6,1.09,Battery_2,discharge,5.0,14.9,14.92
47,102.64,107.0,4.36,Battery_2,discharge,5.0,12.1,12.14
48,92.07,93.19,1.12,Battery_2,discharge,3.85,10.0,10.0
1,93.1,94.62,1.52,Battery_3,hold,0.0,10.0,20.0
2,82.85,77.65,-5.2,Battery_3,charge,10.0,12.2,24.5
3,96.83,100.58,3.75,Battery_3,hold,0.0,12.2,24.5
4,100.45,105.15,4.7,Battery_3,hold,0.0,12.2,24.5
5,100.03,90.27,-9.76,Battery_3,hold,0.0,12.2,24.5
6,103.28,96.77,-6.51,Battery_3,hold,0.0,12.2,24.5
7,104.68,105.32,0.64,Battery_3,hold,0.0,12.2,24.5
8,106.41,104.83,-1.58,Battery_3,hold,0.0,12.2,24.5
9,102.31,102.23,-0.08,Battery_3,hold,0.0,12.2,24.5
10,104.57,100.3,-4.27,Battery_3,hold,0.0,12.2,24.5
11,100.51,104.91,4.4,Battery_3,hold,0.0,12.2,24.5
12,102.49,106.38,3.89,Battery_3,discharge,8.1,10.0,20.0
13,84.39,84.72,0.33,Battery_3,hold,0.0,10.0,20.0
14,83.13,88.77,5.64,Battery_3,hold,0.0,10.0,20.0
15,63.56,65.9,2.34,Battery_3,charge,10.0,12.2,24.5
16,66.1,61.8,-4.3,Battery_3,charge,10.0,14.5,29.0
17,60.11,61.95,1.84,Battery_3,charge,10.0,16.8,33.5
18,58.39,53.6,-4.79,Battery_3,charge,10.0,19.0,38.0
19,47.83,52.22,4.39,Battery_3,charge,10.0,21.2,42.5
20,43.96,43.71,-0.25,Battery_3,charge,10.0,23.5,47.0
21,38.82,37.9,-0.92,Battery_3,charge,10.0,25.8,51.5
22,34.16,30.76,-3.4,Battery_3,charge,10.0,28.0,56.0
23,24.29,30.4,6.11,Battery_3,charge,10.0,30.2,60.5
24,20.48,19.71,-0.77,Battery_3,charge,10.0,32.5,65.0
25,24.52,22.38,-2.14,Battery_3,charge,10.0,34.8,69.5
26,21.79,20.03,-1.76,Battery_3,charge,10.0,37.0,74.0
27,28.98,31.64,2.66,Battery_3,charge,10.0,39.2,78.5
28,26.29,28.12,1.83,Battery_3,charge,10.0,41.5,83.0
29,32.22,34.28,2.06,Battery_3,charge,10.0,43.8,87.5
30,46.03,48.18,2.15,Battery_3,charge,10.0,46.0,92.0
31,60.43,71.14,10.71,Battery_3,charge,10.0,48.2,96.5
32,80.25,78.22,-2.03,Battery_3,hold,0.0,48.2,96.5
33,90.6,88.04,-2.56,Battery_3,hold,0.0,48.2,96.5
34,96.6,92.53,-4.07,Battery_3,hold,0.0,48.2,96.5
35,108.96,112.04,3.08,Battery_3,discharge,10.0,45.5,90.94
36,114.44,120.08,5.64,Battery_3,discharge,10.0,42.7,85.39
37,119.02,118.45,-0.57,Battery_3,discharge,10.0,39.9,79.83
38,120.36,116.16,-4.2,Battery_3,discharge,10.0,37.1,74.28
39,116.13,112.01,-4.12,Battery_3,discharge,10.0,34.4,68.72
40,122.49,125.74,3.25,Battery_3,discharge,10.0,31.6,63.17
41,119.81,123.53,3.72,Battery_3,discharge,10.0,28.8,57.61
42,120.99,123.71,2.72,Battery_3,discharge,10.0,26.0,52.06
43,113.71,110.38,-3.33,Battery_3,discharge,10.0,23.2,46.5
44,113.78,114.94,1.16,Battery_3,discharge,10.0,20.5,40.94
45,109.65,110.23,0.58,Battery_3,discharge,10.0,17.7,35.39
46,102.51,103.6,1.09,Battery_3,discharge,10.0,14.9,29.83
47,102.64,107.0,4.36,Battery_3,discharge,10.0,12.1,24.28
48,92.07,93.19,1.12,Battery_3,discharge,7.7,10.0,20.0
1,93.1,94.62,1.52,Battery_4,hold,0.0,10.0,8.0
2,82.85,77.65,-5.2,Battery_4,charge,4.0,12.3,9.8
3,96.83,100.58,3.75,Battery_4,hold,0.0,12.3,9.8
4,100.45,105.15,4.7,Battery_4,hold,0.0,12.3,9.8
5,100.03,90.27,-9.76,Battery_4,hold,0.0,12.3,9.8
6,103.28,96.77,-6.51,Battery_4,hold,0.0,12.3,9.8
7,104.68,105.32,0.64,Battery_4,hold,0.0,12.3,9.8
8,106.41,104.83,-1.58,Battery_4,hold,0.0,12.3,9.8
9,102.31,102.23,-0.08,Battery_4,hold,0.0,12.3,9.8
10,104.57,100.3,-4.27,Battery_4,hold,0.0,12.3,9.8
11,100.51,104.91,4.4,Battery_4,hold,0.0,12.3,9.8
12,102.49,106.38,3.89,Battery_4,discharge,3.24,10.0,8.0
13,84.39,84.72,0.33,Battery_4,hold,0.0,10.0,8.0
14,83.13,88.77,5.64,Battery_4,hold,0.0,10.0,8.0
15,63.56,65.9,2.34,Battery_4,charge,4.0,12.3,9.8
16,66.1,61.8,-4.3,Battery_4,charge,4.0,14.5,11.6
17,60.11,61.95,1.84,Battery_4,charge,4.0,16.8,13.4
18,58.39,53.6,-4.79,Battery_4,charge,4.0,19.0,15.2
19,47.83,52.22,4.39,Battery_4,charge,4.0,21.2,17.0
20,43.96,43.71,-0.25,Battery_4,charge,4.0,23.5,18.8
21,38.82,37.9,-0.92,Battery_4,charge,4.0,25.8,20.6
22,34.16,30.76,-3.4,Battery_4,charge,4.0,28.0,22.4
23,24.29,30.4,6.11,Battery_4,charge,4.0,30.2,24.2
24,20.48,19.71,-0.77,Battery_4,charge,4.0,32.5,26.0
25,24.52,22.38,-2.14,Battery_4,charge,4.0,34.8,27.8
26,21.79,20.03,-1.76,Battery_4,charge,4.0,37.0,29.6
27,28.98,31.64,2.66,Battery_4,charge,4.0,39.2,31.4
28,26.29,28.12,1.83,Battery_4,charge,4.0,41.5,33.2
29,32.22,34.28,2.06,Battery_4,charge,4.0,43.8,35.0
30,46.03,48.18,2.15,Battery_4,charge,4.0,46.0,36.8
31,60.43,71.14,10.71,Battery_4,charge,4.0,48.3,38.6
32,80.25,78.22,-2.03,Battery_4,hold,0.0,48.3,38.6
