settlement_period,price,asset,action,power_mw,soc,reserved_capacity_pct
1,14.95,Battery_1,hold,0.0,50.0,50.0
1,14.95,Battery_2,hold,0.0,50.0,30.0
1,14.95,Battery_3,hold,0.0,50.0,30.0
1,14.95,Battery_4,hold,0.0,50.0,30.0
1,14.95,Battery_5,hold,0.0,50.0,30.0
2,13.23,Battery_1,hold,0.0,50.0,50.0
2,13.23,Battery_2,hold,0.0,50.0,30.0
2,13.23,Battery_3,hold,0.0,50.0,30.0
2,13.23,Battery_4,hold,0.0,50.0,30.0
2,13.23,Battery_5,hold,0.0,50.0,30.0
3,4.33,Battery_1,hold,0.0,50.0,50.0
3,4.33,Battery_2,hold,0.0,50.0,30.0
3,4.33,Battery_3,hold,0.0,50.0,30.0
3,4.33,Battery_4,hold,0.0,50.0,30.0
3,4.33,Battery_5,hold,0.0,50.0,30.0
4,0.21,Battery_1,hold,0.0,50.0,50.0
4,0.21,Battery_2,hold,0.0,50.0,30.0
4,0.21,Battery_3,hold,0.0,50.0,30.0
4,0.21,Battery_4,hold,0.0,50.0,30.0
4,0.21,Battery_5,hold,0.0,50.0,30.0
5,-1.09,Battery_1,hold,0.0,50.0,50.0
5,-1.09,Battery_2,hold,0.0,50.0,30.0
5,-1.09,Battery_3,hold,0.0,50.0,30.0
5,-1.09,Battery_4,hold,0.0,50.0,30.0
5,-1.09,Battery_5,hold,0.0,50.0,30.0
6,-4.46,Battery_1,hold,0.0,50.0,50.0
6,-4.46,Battery_2,hold,0.0,50.0,30.0
6,-4.46,Battery_3,hold,0.0,50.0,30.0
6,-4.46,Battery_4,hold,0.0,50.0,30.0
6,-4.46,Battery_5,hold,0.0,50.0,30.0
7,-12.07,Battery_1,charge,5.0,61.3,50.0
7,-12.07,Battery_2,charge,17.5,57.9,30.0
7,-12.07,Battery_3,charge,35.0,57.9,30.0
7,-12.07,Battery_4,charge,14.0,57.9,30.0
7,-12.07,Battery_5,charge,28.0,57.9,30.0
8,-13.31,Battery_1,charge,5.0,72.5,50.0
8,-13.31,Battery_2,charge,17.5,65.8,30.0
8,-13.31,Battery_3,charge,35.0,65.8,30.0
8,-13.31,Battery_4,charge,14.0,65.8,30.0
8,-13.31,Battery_5,charge,28.0,65.8,30.0
9,-12.3,Battery_1,charge,3.89,81.2,50.0
9,-12.3,Battery_2,charge,17.5,73.6,30.0
9,-12.3,Battery_3,charge,35.0,73.6,30.0
9,-12.3,Battery_4,charge,14.0,73.6,30.0
9,-12.3,Battery_5,charge,28.0,73.6,30.0
10,-8.82,Battery_1,hold,0.0,81.2,50.0
10,-8.82,Battery_2,hold,0.0,73.6,30.0
10,-8.82,Battery_3,hold,0.0,73.6,30.0
10,-8.82,Battery_4,hold,0.0,73.6,30.0
10,-8.82,Battery_5,hold,0.0,73.6,30.0
11,-6.42,Battery_1,hold,0.0,81.2,50.0
11,-6.42,Battery_2,hold,0.0,73.6,30.0
11,-6.42,Battery_3,hold,0.0,73.6,30.0
11,-6.42,Battery_4,hold,0.0,73.6,30.0
11,-6.42,Battery_5,hold,0.0,73.6,30.0
12,-4.02,Battery_1,hold,0.0,81.2,50.0
12,-4.02,Battery_2,hold,0.0,73.6,30.0
12,-4.02,Battery_3,hold,0.0,73.6,30.0
12,-4.02,Battery_4,hold,0.0,73.6,30.0
12,-4.02,Battery_5,hold,0.0,73.6,30.0
13,-1.68,Battery_1,hold,0.0,81.2,50.0
13,-1.68,Battery_2,hold,0.0,73.6,30.0
