settlement_period,da_price,id_price,spread,asset,action,power_mw,soc,energy_mwh
1,94.69,96.21,1.52,Battery_1,charge,3.0,16.8,3.35
2,78.74,73.54,-5.2,Battery_1,charge,3.0,23.5,4.7
3,87.23,90.98,3.75,Battery_1,charge,3.0,30.2,6.05
4,87.95,92.65,4.7,Battery_1,charge,3.0,37.0,7.4
5,94.54,84.78,-9.76,Battery_1,charge,3.0,43.8,8.75
6,96.35,89.84,-6.51,Battery_1,charge,3.0,50.5,10.1
7,99.58,100.22,0.64,Battery_1,hold,0.0,50.5,10.1
8,96.75,95.17,-1.58,Battery_1,charge,3.0,57.2,11.45
9,101.05,100.97,-0.08,Battery_1,hold,0.0,57.2,11.45
10,98.45,94.18,-4.27,Battery_1,charge,3.0,64.0,12.8
11,108.31,112.71,4.4,Battery_1,hold,0.0,64.0,12.8
12,111.79,115.68,3.89,Battery_1,hold,0.0,64.0,12.8
13,105.54,105.87,0.33,Battery_1,hold,0.0,64.0,12.8
14,114.86,120.5,5.64,Battery_1,hold,0.0,64.0,12.8
15,120.35,122.69,2.34,Battery_1,discharge,3.0,55.7,11.13
16,125.98,121.68,-4.3,Battery_1,discharge,1.44,51.7,10.33
17,128.69,130.53,1.84,Battery_1,discharge,3.0,43.3,8.67
18,130.83,126.04,-4.79,Battery_1,discharge,3.0,35.0,7.0
19,129.46,133.85,4.39,Battery_1,discharge,3.0,26.7,5.33
20,126.34,126.09,-0.25,Battery_1,discharge,3.0,18.3,3.67
21,124.51,123.59,-0.92,Battery_1,discharge,3.0,10.0,2.0
22,105.06,101.66,-3.4,Battery_1,hold,0.0,10.0,2.0
23,81.6,87.71,6.11,Battery_1,hold,0.0,10.0,2.0
24,63.94,63.17,-0.77,Battery_1,hold,0.0,10.0,2.0
25,63.79,61.65,-2.14,Battery_1,hold,0.0,10.0,2.0
26,45.07,43.31,-1.76,Battery_1,charge,3.0,16.8,3.35
27,26.64,29.3,2.66,Battery_1,charge,3.0,23.5,4.7
28,12.16,13.99,1.83,Battery_1,charge,3.0,30.2,6.05
29,8.88,10.94,2.06,Battery_1,charge,3.0,37.0,7.4
30,2.77,4.92,2.15,Battery_1,charge,3.0,43.8,8.75
