settlement_period,da_price,id_price,spread,asset,action,power_mw,soc,energy_mwh
1,11.11,12.63,1.52,Battery_1,hold,0.0,10.0,2.0
2,12.37,7.17,-5.2,Battery_1,hold,0.0,10.0,2.0
3,0.31,4.06,3.75,Battery_1,charge,1.22,12.8,2.55
4,-4.73,-0.03,4.7,Battery_1,charge,3.0,19.5,3.9
5,-6.22,-15.98,-9.76,Battery_1,charge,3.0,26.2,5.25
6,-8.59,-15.1,-6.51,Battery_1,charge,3.0,33.0,6.6
7,-6.94,-6.3,0.64,Battery_1,charge,3.0,39.8,7.95
8,-9.56,-11.14,-1.58,Battery_1,charge,3.0,46.5,9.3
9,-8.56,-8.64,-0.08,Battery_1,charge,3.0,53.2,10.65
10,-5.56,-9.83,-4.27,Battery_1,charge,3.0,60.0,12.0
11,2.12,6.52,4.4,Battery_1,discharge,3.0,51.7,10.33
12,3.93,7.82,3.89,Battery_1,discharge,3.0,43.3,8.67
13,8.81,9.14,0.33,Battery_1,discharge,3.0,35.0,7.0
14,10.2,15.84,5.64,Battery_1,discharge,3.0,26.7,5.33
15,10.93,13.27,2.34,Battery_1,discharge,3.0,18.3,3.67
16,12.15,7.85,-4.3,Battery_1,discharge,3.0,10.0,2.0
17,0.05,1.89,1.84,Battery_1,hold,0.0,10.0,2.0
18,0.42,-4.37,-4.79,Battery_1,charge,3.0,16.8,3.35
19,-4.65,-0.26,4.39,Battery_1,charge,3.0,22.5,4.5
20,-7.5,-7.75,-0.25,Battery_1,charge,3.0,29.2,5.85
21,-7.26,-8.18,-0.92,Battery_1,charge,3.0,36.0,7.2
22,-10.1,-13.5,-3.4,Battery_1,charge,3.0,42.8,8.55
23,-14.5,-8.39,6.11,Battery_1,charge,3.0,49.5,9.9
24,-13.74,-14.51,-0.77,Battery_1,charge,3.0,56.2,11.25
25,-13.05,-15.19,-2.14,Battery_1,charge,3.0,63.0,12.6
26,-9.51,-11.27,-1.76,Battery_1,charge,3.0,69.8,13.95
27,-12.15,-9.49,2.66,Battery_1,charge,3.0,76.5,15.3
28,-3.35,-1.52,1.83,Battery_1,charge,3.0,83.2,16.65
29,-2.36,-0.3,2.06,Battery_1,charge,3.0,90.0,18.0
30,8.13,10.28,2.15,Battery_1,hold,0.0,90.0,18.0
31,8.04,18.75,10.71,Battery_1,hold,0.0,90.0,18.0
32,21.09,19.06,-2.03,Battery_1,hold,0.0,90.0,18.0
33,84.61,82.05,-2.56,Battery_1,hold,0.0,90.0,18.0
34,86.06,81.99,-4.07,Battery_1,hold,0.0,90.0,18.0
35,78.88,81.96,3.08,Battery_1,hold,0.0,90.0,18.0
36,80.41,86.05,5.64,Battery_1,discharge,3.0,81.7,16.33
37,85.1,84.53,-0.57,Battery_1,hold,0.0,81.7,16.33
38,100.0,95.8,-4.2,Battery_1,discharge,3.0,73.3,14.67
39,98.55,94.43,-4.12,Battery_1,discharge,3.0,65.0,13.0
40,100.55,103.8,3.25,Battery_1,discharge,3.0,56.7,11.33
41,113.31,117.03,3.72,Battery_1,discharge,3.0,48.3,9.67
42,110.72,113.44,2.72,Battery_1,discharge,3.0,40.0,8.0
43,99.46,96.13,-3.33,Battery_1,discharge,3.0,31.7,6.33
44,90.46,91.62,1.16,Battery_1,discharge,3.0,23.3,4.67
45,91.58,92.16,0.58,Battery_1,discharge,3.0,15.0,3.0
46,83.89,84.98,1.09,Battery_1,discharge,1.8,10.0,2.0
1,11.11,12.63,1.52,Battery_2,hold,0.0,10.0,10.0
2,12.37,7.17,-5.2,Battery_2,charge,5.0,12.2,12.25
3,0.31,4.06,3.75,Battery_2,charge,5.0,14.5,14.5
4,-4.73,-0.03,4.7,Battery_2,charge,5.0,16.8,16.75
5,-6.22,-15.98,-9.76,Battery_2,charge,5.0,19.0,19.0
6,-8.59,-15.1,-6.51,Battery_2,charge,5.0,21.2,21.25
7,-6.94,-6.3,0.64,Battery_2,charge,5.0,23.5,23.5
8,-9.56,-11.14,-1.58,Battery_2,charge,5.0,25.8,25.75
9,-8.56,-8.64,-0.08,Battery_2,charge,5.0,28.0,28.0
10,-5.56,-9.83,-4.27,Battery_2,charge,5.0,30.2,30.25
11,2.12,6.52,4.4,Battery_2,charge,5.0,32.5,32.5
12,3.93,7.82,3.89,Battery_2,charge,2.28,33.5,33.53
13,8.81,9.14,0.33,Battery_2,hold,0.0,33.5,33.53
14,10.2,15.84,5.64,Battery_2,discharge,5.0,30.8,30.75
15,10.93,13.27,2.34,Battery_2,discharge,5.0,28.0,27.97
16,12.15,7.85,-4.3,Battery_2,hold,0.0,28.0,27.97
17,0.05,1.89,1.84,Battery_2,charge,5.0,30.2,30.22
