settlement_period,da_price,id_price,spread,asset,action,power_mw,soc,energy_mwh
1,150.01,151.53,1.52,Battery_1,charge,2.63,15.9,3.18
2,145.1,139.9,-5.2,Battery_1,charge,3.0,22.7,4.53
3,134.29,138.04,3.75,Battery_1,charge,3.0,29.4,5.88
4,138.18,142.88,4.7,Battery_1,charge,3.0,36.2,7.23
5,144.72,134.96,-9.76,Battery_1,charge,3.0,42.9,8.58
6,143.67,137.16,-6.51,Battery_1,charge,3.0,49.7,9.93
7,142.17,142.81,0.64,Battery_1,charge,3.0,56.4,11.28
8,145.42,143.84,-1.58,Battery_1,charge,3.0,63.2,12.63
9,145.85,145.77,-0.08,Battery_1,charge,3.0,69.9,13.98
10,142.15,137.88,-4.27,Battery_1,charge,3.0,76.7,15.33
11,152.15,156.55,4.4,Battery_1,hold,0.0,76.7,15.33
12,161.06,164.95,3.89,Battery_1,hold,0.0,76.7,15.33
13,171.27,171.6,0.33,Battery_1,hold,0.0,76.7,15.33
14,177.04,182.68,5.64,Battery_1,hold,0.0,76.7,15.33
15,176.21,178.55,2.34,Battery_1,hold,0.0,76.7,15.33
16,186.57,182.27,-4.3,Battery_1,hold,0.0,76.7,15.33
17,183.81,185.65,1.84,Battery_1,hold,0.0,76.7,15.33
18,180.45,175.66,-4.79,Battery_1,hold,0.0,76.7,15.33
19,168.96,173.35,4.39,Battery_1,hold,0.0,76.7,15.33
20,167.96,167.71,-0.25,Battery_1,hold,0.0,76.7,15.33
21,158.94,158.02,-0.92,Battery_1,hold,0.0,76.7,15.33
22,157.09,153.69,-3.4,Battery_1,hold,0.0,76.7,15.33
23,154.74,160.85,6.11,Battery_1,hold,0.0,76.7,15.33
24,161.78,161.01,-0.77,Battery_1,hold,0.0,76.7,15.33
25,162.62,160.48,-2.14,Battery_1,hold,0.0,76.7,15.33
26,169.86,168.1,-1.76,Battery_1,hold,0.0,76.7,15.33
27,176.35,179.01,2.66,Battery_1,hold,0.0,76.7,15.33
28,179.27,181.1,1.83,Battery_1,hold,0.0,76.7,15.33
29,182.41,184.47,2.06,Battery_1,hold,0.0,76.7,15.33
30,177.95,180.1,2.15,Battery_1,hold,0.0,76.7,15.33
31,175.91,186.62,10.71,Battery_1,hold,0.0,76.7,15.33
32,172.0,169.97,-2.03,Battery_1,hold,0.0,76.7,15.33
33,179.15,176.59,-2.56,Battery_1,hold,0.0,76.7,15.33
34,179.48,175.41,-4.07,Battery_1,hold,0.0,76.7,15.33
35,198.35,201.43,3.08,Battery_1,discharge,3.0,68.3,13.67
36,203.04,208.68,5.64,Battery_1,discharge,3.0,60.0,12.0
37,207.55,206.98,-0.57,Battery_1,discharge,3.0,51.7,10.33
38,205.72,201.52,-4.2,Battery_1,discharge,3.0,43.3,8.67
39,197.35,193.23,-4.12,Battery_1,discharge,3.0,35.0,7.0
40,195.63,198.88,3.25,Battery_1,discharge,3.0,26.7,5.33
41,189.34,193.06,3.72,Battery_1,discharge,3.0,18.3,3.67
42,185.89,188.61,2.72,Battery_1,discharge,3.0,10.0,2.0
43,180.16,176.83,-3.33,Battery_1,hold,0.0,10.0,2.0
44,178.28,179.44,1.16,Battery_1,hold,0.0,10.0,2.0
45,176.95,177.53,0.58,Battery_1,hold,0.0,10.0,2.0
46,171.73,172.82,1.09,Battery_1,hold,0.0,10.0,2.0
47,0.0,4.36,4.36,Battery_1,hold,0.0,10.0,2.0
48,0.0,1.12,1.12,Battery_1,hold,0.0,10.0,2.0
1,150.01,151.53,1.52,Battery_2,charge,4.38,12.0,11.97
2,145.1,139.9,-5.2,Battery_2,charge,5.0,14.2,14.22
3,134.29,138.04,3.75,Battery_2,charge,5.0,16.5,16.47
4,138.18,142.88,4.7,Battery_2,charge,5.0,18.7,18.72
5,144.72,134.96,-9.76,Battery_2,charge,5.0,21.0,20.97
6,143.67,137.16,-6.51,Battery_2,charge,5.0,23.2,23.22
7,142.17,142.81,0.64,Battery_2,charge,5.0,25.5,25.47
8,145.42,143.84,-1.58,Battery_2,charge,5.0,27.7,27.72
9,145.85,145.77,-0.08,Battery_2,charge,5.0,30.0,29.97
10,142.15,137.88,-4.27,Battery_2,charge,5.0,32.2,32.22
11,152.15,156.55,4.4,Battery_2,hold,0.0,32.2,32.22
12,161.06,164.95,3.89,Battery_2,hold,0.0,32.2,32.22
13,171.27,171.6,0.33,Battery_2,hold,0.0,32.2,32.22
14,177.04,182.68,5.64,Battery_2,hold,0.0,32.2,32.22
15,176.21,178.55,2.34,Battery_2,hold,0.0,32.2,32.22
16,186.57,182.27,-4.3,Battery_2,hold,0.0,32.2,32.22
17,183.81,185.65,1.84,Battery_2,hold,0.0,32.2,32.22
18,180.45,175.66,-4.79,Battery_2,hold,0.0,32.2,32.22
19,168.96,173.35,4.39,Battery_2,hold,0.0,32.2,32.22
20,167.96,167.71,-0.25,Battery_2,hold,0.0,32.2,32.22
21,158.94,158.02,-0.92,Battery_2,hold,0.0,32.2,32.22
22,157.09,153.69,-3.4,Battery_2,hold,0.0,32.2,32.22
23,154.74,160.85,6.11,Battery_2,hold,0.0,32.2,32.22
24,161.78,161.01,-0.77,Battery_2,hold,0.0,32.2,32.22
25,162.62,160.48,-2.14,Battery_2,hold,0.0,32.2,32.22
26,169.86,168.1,-1.76,Battery_2,hold,0.0,32.2,32.22
27,176.35,179.01,2.66,Battery_2,hold,0.0,32.2,32.22
28,179.27,181.1,1.83,Battery_2,hold,0.0,32.2,32.22
29,182.41,184.47,2.06,Battery_2,hold,0.0,32.2,32.22
30,177.95,180.1,2.15,Battery_2,hold,0.0,32.2,32.22
31,175.91,186.62,10.71,Battery_2,hold,0.0,32.2,32.22
32,172.0,169.97,-2.03,Battery_2,hold,0.0,32.2,32.22
33,179.15,176.59,-2.56,Battery_2,hold,0.0,32.2,32.22
34,179.48,175.41,-4.07,Battery_2,hold,0.0,32.2,32.22
35,198.35,201.43,3.08,Battery_2,discharge,5.0,29.4,29.44
36,203.04,208.68,5.64,Battery_2,discharge,5.0,26.7,26.67
37,207.55,206.98,-0.57,Battery_2,discharge,5.0,23.9,23.89
38,205.72,201.52,-4.2,Battery_2,discharge,5.0,21.1,21.11
